Date,Study Period,Tasks Completed,Music Genre,Work environment,Number of Distractions,Time of day,Sleep,Productivity,# of Level 1 Tasks Completed,# of Level 2 Tasks Completed,# of Level 3 Tasks Completed,# of Level 4 Tasks Completed,# of Level 5 Tasks Completed
04/22/25,150,3,Lofi,4th Floor Library,3,Morning,570,2.00,1,2,0,0,0
04/23/25,105,2,Classical,8th Floor Library,0,Morning,540,1.71,1,1,0,0,0
04/24/25,60,1,No Music,8th Floor Library,1,Morning,510,2.00,0,1,0,0,0
04/25/25,120,2,Indie Rock,4th Floor Library,3,Morning,480,2.00,0,2,0,0,0
04/28/25,60,1,Lofi,Home Living Room,1,Morning,480,3.00,0,0,1,0,0
04/28/25,135,2,Indie Rock,4th Floor Library,3,Morning,480,0.89,2,0,0,0,0
05/05/25,90,1,Indie Rock,4th Floor Library,1,Morning,555,0.67,1,0,0,0,0
05/05/25,240,1,Lofi,2nd Floor Library,5,Night,555,1.25,0,0,0,0,1
05/06/25,90,1,Lofi,Home Living Room,2,Afternoon,480,2.00,0,0,1,0,0
05/07/25,60,1,No Music,Home Living Room,0,Morning,540,2.00,0,1,0,0,0
05/14/25,60,2,No Music,Home Living Room,1,Morning,540,2.00,2,0,0,0,0
05/14/25,30,1,Classical,Home Living Room,0,Afternoon,540,2.00,1,0,0,0,0
05/20/25,120,2,Classical,Home Living Room,3,Afternoon,480,2.00,1,0,1,0,0
05/21/25,120,3,No Music,Bedroom,4,Afternoon,450,1.50,1,1,0,0,0
05/22/25,45,2,Classical,1st Floor UCEN,3,Afternoon,600,2.67,2,0,0,0,0
05/23/25,45,2,No Music,Home Living Room,0,Morning,480,2.67,2,0,0,0,0